DATE,DEFAULT SPREAD
2019-07-25,2.14
2019-07-26,2.13
2019-07-29,2.13
2019-07-30,2.14
2019-07-31,2.13
2019-08-01,2.17
2019-08-02,2.18
2019-08-05,2.24
2019-08-06,2.25
2019-08-07,2.23
2019-08-08,2.25
2019-08-09,2.23
2019-08-12,2.23
2019-08-13,2.22
2019-08-14,2.23
2019-08-15,2.27
2019-08-16,2.26
2019-08-19,2.29
2019-08-20,2.3
2019-08-21,2.25
2019-08-22,2.25
2019-08-23,2.27
2019-08-26,2.27
2019-08-27,2.26
2019-08-28,2.26
2019-08-29,2.27
